id,youtube_id,zenodo_id,title,doi,zenodo_link,youtube_link
195,1Pvn2IMrtgM,15203319,About Trika system – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203319,https://zenodo.org/record/15203319,https://www.youtube.com/watch?v=1Pvn2IMrtgM
196,RZKfDuFCv-M,15203325,About mandalas (Śrī Yantra) – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203325,https://zenodo.org/record/15203325,https://www.youtube.com/watch?v=RZKfDuFCv-M
197,jpx7Xn55UH4,15203329,The fundamental drive of living beings: bliss (ānanda) –  Ācārya dr Sthaneshwar Timalsina,10.5281/zenodo.15203329,https://zenodo.org/record/15203329,https://www.youtube.com/watch?v=jpx7Xn55UH4
198,5fsqRgmG71c,15203331,The objective of rituals – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203331,https://zenodo.org/record/15203331,https://www.youtube.com/watch?v=5fsqRgmG71c
199,CM7dDiftJ0k,15203335,After Śaktipāta – Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203335,https://zenodo.org/record/15203335,https://www.youtube.com/watch?v=CM7dDiftJ0k
200,1p5OXutnCo0,15203339,The yoga of speaking Sanskrit – Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203339,https://zenodo.org/record/15203339,https://www.youtube.com/watch?v=1p5OXutnCo0
201,R7_JpJzXXPQ,15203345,Universal Grace is Śiva – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203345,https://zenodo.org/record/15203345,https://www.youtube.com/watch?v=R7_JpJzXXPQ
202,TknonOP-o5o,15203405,Confluence of Vedanta & Tantra talk (Part 2) -- Acharya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203405,https://zenodo.org/record/15203405,https://www.youtube.com/watch?v=TknonOP-o5o
203,ztFWv3kXGuU,15203408,What is mantra? (2.)  – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203408,https://zenodo.org/record/15203408,https://www.youtube.com/watch?v=ztFWv3kXGuU
204,k4FT90ndZAY,15203460,Are Deities real or just an imagination? - Short Answers from Acharya Sthaneshwar,10.5281/zenodo.15203460,https://zenodo.org/record/15203460,https://www.youtube.com/watch?v=k4FT90ndZAY
205,roSltmZW0D8,15203462,Can you only perform meditation if you are sitting still? -- Short Answers from Acharya Sthaneshwar,10.5281/zenodo.15203462,https://zenodo.org/record/15203462,https://www.youtube.com/watch?v=roSltmZW0D8
206,5_DkkGDHBHU,15203478,Confluence of Vedanta & Tantra talk (Part 1) -- Acharya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203478,https://zenodo.org/record/15203478,https://www.youtube.com/watch?v=5_DkkGDHBHU
207,2r1gU1xUKWk,15203480,Modes of being as per Śākta philosophy – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203480,https://zenodo.org/record/15203480,https://www.youtube.com/watch?v=2r1gU1xUKWk
208,_nVEPKEV9EY,15203484,What are chakras? – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203484,https://zenodo.org/record/15203484,https://www.youtube.com/watch?v=_nVEPKEV9EY
209,1yDDcw06Bhw,15203486,Understanding tantra – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203486,https://zenodo.org/record/15203486,https://www.youtube.com/watch?v=1yDDcw06Bhw
210,K-3LWrJfuRs,15203488,What is mandala?  – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203488,https://zenodo.org/record/15203488,https://www.youtube.com/watch?v=K-3LWrJfuRs
211,SFqvZCbTxKg,15203494,Learn to stand up – Ācārya dr.  Sthaneshwar Timalsina,10.5281/zenodo.15203494,https://zenodo.org/record/15203494,https://www.youtube.com/watch?v=SFqvZCbTxKg
212,DP0C--ep8ko,15203501,About mimicing Deities & Śiva lingas – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203501,https://zenodo.org/record/15203501,https://www.youtube.com/watch?v=DP0C--ep8ko
213,Plw8yBJmrPM,15203504,The nature of our Being: bliss (ānanda) – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203504,https://zenodo.org/record/15203504,https://www.youtube.com/watch?v=Plw8yBJmrPM
214,Mk-pkDBB68Y,15203507,The 'turning back' is uncaused – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203507,https://zenodo.org/record/15203507,https://www.youtube.com/watch?v=Mk-pkDBB68Y
215,irSxs4oSJzI,15203532,The Shakta Philosophy of Tripurasundari – Ācārya Dr. Sthaneshwar Timalsina,10.5281/zenodo.15203532,https://zenodo.org/record/15203532,https://www.youtube.com/watch?v=irSxs4oSJzI
216,O8oSGlKpQDs,15203537,Freedom - the ultimate project of Śakti – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203537,https://zenodo.org/record/15203537,https://www.youtube.com/watch?v=O8oSGlKpQDs
217,3iq77l40mXY,15203541,The need of guru in Tantra – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203541,https://zenodo.org/record/15203541,https://www.youtube.com/watch?v=3iq77l40mXY
218,CrT5KSEn3mk,15203544,Prānic exercises for the practice of Tantra – Ācārya dr. Sthaneshwar Timalsina,10.5281/zenodo.15203544,https://zenodo.org/record/15203544,https://www.youtube.com/watch?v=CrT5KSEn3mk
219,1bn6FdAgEJ8,15203546,Newari Script and Manuscript Editing - FREE ONLINE CERTIFICATE COURSE by the Vimarsha Foundation,10.5281/zenodo.15203546,https://zenodo.org/record/15203546,https://www.youtube.com/watch?v=1bn6FdAgEJ8
220,Y9G9w513cEY,15203548,What is the idea of freedom&liberation in Tantra  – Ācārya dr  Sthaneshwar Timalsina,10.5281/zenodo.15203548,https://zenodo.org/record/15203548,https://www.youtube.com/watch?v=Y9G9w513cEY
221,GduAScuKh24,15203551,"The path of tantra: practice, surrender & self empowerment – Ācārya dr. Sthaneshwar Timalsina",10.5281/zenodo.15203551,https://zenodo.org/record/15203551,https://www.youtube.com/watch?v=GduAScuKh24
222,hLw0Al7YpVE,15203555,"As in the body, so in the cosmos – Ācārya Sthaneshwar Timalsina 1",10.5281/zenodo.15203555,https://zenodo.org/record/15203555,https://www.youtube.com/watch?v=hLw0Al7YpVE
